,Category,Topic,Term,Variable_Level_1,Variable_Level_2,Variable_Level_3,Detailed_Variable,UUID
3077,EARTH SCIENCE,TERRESTRIAL HYDROSPHERE,GLACIERS/ICE SHEETS,ABLATION ZONES/ACCUMULATION ZONES,,,,a994a6f6-cfcd-45d2-95a4-0f8455a9454d
3078,EARTH SCIENCE,TERRESTRIAL HYDROSPHERE,GLACIERS/ICE SHEETS,BASINS,,,,b58fc6f1-2fb5-4e3a-9553-f041fe75960b
3079,EARTH SCIENCE,TERRESTRIAL HYDROSPHERE,GLACIERS/ICE SHEETS,COASTLINE,,,,18d136b8-728f-438b-90cb-3c82956e1c2c
3080,EARTH SCIENCE,TERRESTRIAL HYDROSPHERE,GLACIERS/ICE SHEETS,FIRN,SNOW GRAIN SIZE,,,2ba27dc1-e2e6-4ce5-be05-fb4e4dd5ab54
3081,EARTH SCIENCE,TERRESTRIAL HYDROSPHERE,GLACIERS/ICE SHEETS,FIRN,,,,ff79c018-8d61-4811-91bc-c4ddea29677c
3082,EARTH SCIENCE,TERRESTRIAL HYDROSPHERE,GLACIERS/ICE SHEETS,GLACIER ELEVATION/ICE SHEET ELEVATION,,,,4d1cc756-c12a-472a-9eae-de96e0a7ba74
3083,EARTH SCIENCE,TERRESTRIAL HYDROSPHERE,GLACIERS/ICE SHEETS,GLACIER FACIES,,,,7b657679-78bf-4580-987d-0d1b98dcd0d2
3084,EARTH SCIENCE,TERRESTRIAL HYDROSPHERE,GLACIERS/ICE SHEETS,GLACIER MASS BALANCE/ICE SHEET MASS BALANCE,,,,5ac9ae0b-901a-468e-8a42-5d6f3865a584
3085,EARTH SCIENCE,TERRESTRIAL HYDROSPHERE,GLACIERS/ICE SHEETS,GLACIER MOTION/ICE SHEET MOTION,,,,a870d769-b815-435a-b7cc-cba5e6c27bb3
3086,EARTH SCIENCE,TERRESTRIAL HYDROSPHERE,GLACIERS/ICE SHEETS,GLACIER THICKNESS/ICE SHEET THICKNESS,,,,87b27ecd-c10b-4d41-8c49-b84f185c5bd4
3087,EARTH SCIENCE,TERRESTRIAL HYDROSPHERE,GLACIERS/ICE SHEETS,GLACIER TOPOGRAPHY/ICE SHEET TOPOGRAPHY,,,,72fdd0c7-f998-47ab-aeee-2956b9015ccb
3088,EARTH SCIENCE,TERRESTRIAL HYDROSPHERE,GLACIERS/ICE SHEETS,GLACIERS,GLACIER RUNOFF,,,a8636894-6c29-46dc-88b9-7e56d27a3d7e
3089,EARTH SCIENCE,TERRESTRIAL HYDROSPHERE,GLACIERS/ICE SHEETS,GLACIERS,GLACIER TERMINUS,,,84fff9f2-4dad-4ff8-9d10-cacd6a1864fb
3090,EARTH SCIENCE,TERRESTRIAL HYDROSPHERE,GLACIERS/ICE SHEETS,GLACIERS,GROUNDING LINE,,,6c06019d-97df-499a-ab03-64b615af547a
3091,EARTH SCIENCE,TERRESTRIAL HYDROSPHERE,GLACIERS/ICE SHEETS,GLACIERS,ICE STUPA,,,8c425053-be1d-4dbe-b5e9-b9e85e382940
3092,EARTH SCIENCE,TERRESTRIAL HYDROSPHERE,GLACIERS/ICE SHEETS,GLACIERS,,,,4a426aab-4a95-4bf4-8449-19a72a251541
3093,EARTH SCIENCE,TERRESTRIAL HYDROSPHERE,GLACIERS/ICE SHEETS,ICE SHEETS,,,,b2800856-f1e3-41aa-bdc4-75e9cd626d3f
3094,EARTH SCIENCE,TERRESTRIAL HYDROSPHERE,GLACIERS/ICE SHEETS,ICE SHELVES,,,,98d5bed0-0d07-495a-9c8a-b5eedd04192f
3095,EARTH SCIENCE,TERRESTRIAL HYDROSPHERE,GLACIERS/ICE SHEETS,ICEBERGS,,,,f1c79b5f-fcc2-42e7-818b-7534f79081ff
3096,EARTH SCIENCE,TERRESTRIAL HYDROSPHERE,GLACIERS/ICE SHEETS,,,,,099ab1ae-f4d2-48cc-be2f-86bd58ffc4ca
3097,EARTH SCIENCE,TERRESTRIAL HYDROSPHERE,GROUND WATER,GROUND WATER CHEMISTRY,,,,8435030e-8d16-409f-a812-ace5d8ffc122
3098,EARTH SCIENCE,TERRESTRIAL HYDROSPHERE,GROUND WATER,GROUND WATER FEATURES,AQUIFERS,,,a957363b-2f2c-4169-a656-c2f24933eb72
3099,EARTH SCIENCE,TERRESTRIAL HYDROSPHERE,GROUND WATER,GROUND WATER FEATURES,FRESHWATER SPRINGS,,,c87c086a-933f-44c7-a128-33279b36d7b5
3100,EARTH SCIENCE,TERRESTRIAL HYDROSPHERE,GROUND WATER,GROUND WATER FEATURES,WATER TABLE,WATER TABLE DEPTH,,04655f0e-81f1-411c-9cfe-994cd743701e
3101,EARTH SCIENCE,TERRESTRIAL HYDROSPHERE,GROUND WATER,GROUND WATER FEATURES,WATER TABLE,,,ecbe9f17-6012-4e39-a707-713973b7d167
3102,EARTH SCIENCE,TERRESTRIAL HYDROSPHERE,GROUND WATER,GROUND WATER FEATURES,,,,ae94befb-d08e-4350-8ebe-c0ba7ded8320
3103,EARTH SCIENCE,TERRESTRIAL HYDROSPHERE,GROUND WATER,GROUND WATER PROCESSES/MEASUREMENTS,AQUIFER RECHARGE,AQUIFER DEPTH,,ee3893bc-f0d6-445a-8982-f852785d5768
3104,EARTH SCIENCE,TERRESTRIAL HYDROSPHERE,GROUND WATER,GROUND WATER PROCESSES/MEASUREMENTS,AQUIFER RECHARGE,RECHARGE AMOUNT,,2cd0b33e-4805-4930-ba84-fef6c625a9b4
3105,EARTH SCIENCE,TERRESTRIAL HYDROSPHERE,GROUND WATER,GROUND WATER PROCESSES/MEASUREMENTS,AQUIFER RECHARGE,RECHARGE FREQUENCY,,e89dc20d-0570-41ca-8039-38316332238a
3106,EARTH SCIENCE,TERRESTRIAL HYDROSPHERE,GROUND WATER,GROUND WATER PROCESSES/MEASUREMENTS,AQUIFER RECHARGE,,,dbeaaf9f-294c-4e45-ba9e-7be8cd449db1
3107,EARTH SCIENCE,TERRESTRIAL HYDROSPHERE,GROUND WATER,GROUND WATER PROCESSES/MEASUREMENTS,DISCHARGE,DISCHARGE AMOUNT,,4f30855f-5bf1-46a8-b2ce-ce2fa00485ec
3108,EARTH SCIENCE,TERRESTRIAL HYDROSPHERE,GROUND WATER,GROUND WATER PROCESSES/MEASUREMENTS,DISCHARGE,DISCHARGE RATE,,d89d0e4d-0462-43a5-905e-c060db425e7b
3109,EARTH SCIENCE,TERRESTRIAL HYDROSPHERE,GROUND WATER,GROUND WATER PROCESSES/MEASUREMENTS,DISCHARGE,,,0976b778-91be-40e7-9ed7-ebbf214bb818
3110,EARTH SCIENCE,TERRESTRIAL HYDROSPHERE,GROUND WATER,GROUND WATER PROCESSES/MEASUREMENTS,DISPERSION,DISPERSION FREQUENCY,,1fa631de-797f-4649-aa26-9f814ddcdb9b
3111,EARTH SCIENCE,TERRESTRIAL HYDROSPHERE,GROUND WATER,GROUND WATER PROCESSES/MEASUREMENTS,DISPERSION,DISPERSION RATE,,3a95742c-1355-40af-ac86-e24365a67b04
3112,EARTH SCIENCE,TERRESTRIAL HYDROSPHERE,GROUND WATER,GROUND WATER PROCESSES/MEASUREMENTS,DISPERSION,,,d2d4ee50-99ed-4ee7-b957-22271a60c031
3113,EARTH SCIENCE,TERRESTRIAL HYDROSPHERE,GROUND WATER,GROUND WATER PROCESSES/MEASUREMENTS,DRAINAGE,DRAINAGE AMOUNT,,5ea5be7b-fdbb-4c50-9f54-c0bbd7dcc78c
3114,EARTH SCIENCE,TERRESTRIAL HYDROSPHERE,GROUND WATER,GROUND WATER PROCESSES/MEASUREMENTS,DRAINAGE,DRAINAGE DIRECTION,,3045e9ec-ac70-4d72-904a-54094357373a
3115,EARTH SCIENCE,TERRESTRIAL HYDROSPHERE,GROUND WATER,GROUND WATER PROCESSES/MEASUREMENTS,DRAINAGE,,,6a2107ab-38ab-42dc-beb0-8ba5f65e8022
3116,EARTH SCIENCE,TERRESTRIAL HYDROSPHERE,GROUND WATER,GROUND WATER PROCESSES/MEASUREMENTS,INFILTRATION,INFILTRATION AMOUNT,,59ce52b5-0386-4b51-b5ac-049a0862e9cd
