"Bucket_Level0","Bucket_Level1","Bucket_Level2","Bucket_Level3","Short_Name","Long_Name","Data_Center_URL","UUID"
"ACADEMIC","","","","COLUMBIA/LDEO/CHRR","Center for Hazards and Risk Research, Lamont-Doherty Earth Observatory, Columbia University","http://www.ldeo.columbia.edu/chrr/","fe3a9649-d379-42c8-bcda-0f746eea3a08"
"ACADEMIC","","","","COLUMBIA/LDEO/EESC","Department of Earth and Environmental Sciences, Lamont-Doherty Earth Observatory, Columbia University","http://eesc.columbia.edu/","d137e528-be8f-46e6-96e6-8935cb6aa7a0"
"ACADEMIC","","","","COLUMBIA/LDEO/IRI/CDL","Climate Data Library, International Research Institute for Climate Prediction, Lamont-Doherty Earth Observatory, Columbia University","http://ingrid.ldeo.columbia.edu/","8ebe0709-c15f-4002-90bf-3e3383f1b92d"
"ACADEMIC","","","","COLUMBIA/LDEO/IRI/TRL","Tree-Ring Laboratory, International Research Institute for Climate Prediction, Lamont-Doherty Earth Observatory, Columbia University","http://www.ldeo.columbia.edu/res/fac/trl/","8757915d-00eb-4b5b-9d0c-91afb7815667"
"ACADEMIC","","","","COLUMBIA/LDEO/MGDS","Marine Geoscience Data  System, Lamont-Doherty Earth Observatory, Columbia University","http://www.marine-geo.org/","3d276910-5fbe-4a6e-b2e9-ce39a2f853e8"
"ACADEMIC","","","","COLUMBIA/LDEO/SEDDB","Sedimentary Geochemical Database, Lamont-Doherty Earth Observatory, Columbia University","http://www.seddb.org/","e723a3be-8a9d-4786-b119-cffcd64cc6b3"
"ACADEMIC","","","","COLUMBIA/LDEO","Lamont-Doherty Earth Observatory, Columbia University","http://www.ldeo.columbia.edu/","f6751307-19d8-4672-b1d1-93de7d1cf1ca"
