,Category,Class,Type,Subtype,Short_Name,Long_Name,UUID
1132,In Situ/Laboratory Instruments,Electrical Meters,,,COULOMETERS,,0b6020a0-2e04-407d-83af-34eabfefb870
1133,In Situ/Laboratory Instruments,Electrical Meters,,,ELECTRIC FIELD MILL,,422f03c8-c41e-41e8-9ee0-6a3ecda8bb58
1134,In Situ/Laboratory Instruments,Electrical Meters,,,ELECTROMETER,,ccbeebed-70e8-435e-ba33-b82d237caca4
1135,In Situ/Laboratory Instruments,Electrical Meters,,,GALVANOMETER,,02064e6f-5647-4da1-bb5e-800924a82e27
1136,In Situ/Laboratory Instruments,Electrical Meters,,,MESA,Miniature Electrostatic Analyzer,46f0f371-af6e-4125-9b26-edcedad523ac
1137,In Situ/Laboratory Instruments,Electrical Meters,,,MIPS-EFM,MIPS Electric Field Mill,5c6afb8e-9ceb-45c1-a393-823c14e4e01c
1138,In Situ/Laboratory Instruments,Electrical Meters,,,RDEFM,Rotating Dipole Electric Field Mill,864856d9-94ac-4d71-abd3-3cbdbafb7184
1139,In Situ/Laboratory Instruments,Electrical Meters,,,SNOW FORKS,,eeb86e6d-1b9e-41a8-9a61-813e5c0874e4
1140,In Situ/Laboratory Instruments,Electrical Meters,,,UE,Unifiller-electrometer,8a5b3beb-e397-4ab9-8ded-06940862bd89
1141,In Situ/Laboratory Instruments,Electrical Meters,,,VOLTAGE METERS,,d1e33bbf-2f09-4e5d-ad79-a334f32839b1
1142,In Situ/Laboratory Instruments,Electrical Meters,,,,,2724649a-5bae-4b34-89c0-2e5ca6d3203b
