,Category,Topic,Term,Variable_Level_1,Variable_Level_2,Variable_Level_3,Detailed_Variable,UUID
2158,EARTH SCIENCE,OCEANS,AQUATIC SCIENCES,AQUACULTURE,,,,f6c057c9-c789-4cd5-ba22-e9b08aae152b
2159,EARTH SCIENCE,OCEANS,AQUATIC SCIENCES,FISHERIES,,,,fa57b0a0-9723-4195-bdd1-4f26aefa0e07
2160,EARTH SCIENCE,OCEANS,AQUATIC SCIENCES,,,,,f27ad52c-3dfd-4788-851a-427e60ae1b8f
2161,EARTH SCIENCE,OCEANS,BATHYMETRY/SEAFLOOR TOPOGRAPHY,ABYSSAL HILLS/PLAINS,,,,0b011562-ee55-4ba0-a026-4faa7493ca5b
2162,EARTH SCIENCE,OCEANS,BATHYMETRY/SEAFLOOR TOPOGRAPHY,BATHYMETRY,COASTAL BATHYMETRY,,,d80c015f-a383-4883-8309-6aab1c39f5b6
2163,EARTH SCIENCE,OCEANS,BATHYMETRY/SEAFLOOR TOPOGRAPHY,BATHYMETRY,,,,80d79c7e-6c64-4ada-bfcc-4093969758a5
2164,EARTH SCIENCE,OCEANS,BATHYMETRY/SEAFLOOR TOPOGRAPHY,CONTINENTAL MARGINS,,,,a91a00f7-05ed-4633-9fac-1772a48b6342
2165,EARTH SCIENCE,OCEANS,BATHYMETRY/SEAFLOOR TOPOGRAPHY,FRACTURE ZONES,,,,58c12630-a889-44c1-a951-56bbbe9758c9
2166,EARTH SCIENCE,OCEANS,BATHYMETRY/SEAFLOOR TOPOGRAPHY,OCEAN PLATEAUS/RIDGES,,,,73e02157-9df9-415f-93fc-cb457989ddb1
2167,EARTH SCIENCE,OCEANS,BATHYMETRY/SEAFLOOR TOPOGRAPHY,SEAFLOOR TOPOGRAPHY,,,,b6b51058-1111-4498-a9ac-e1515270fb27
2168,EARTH SCIENCE,OCEANS,BATHYMETRY/SEAFLOOR TOPOGRAPHY,SEAMOUNTS,,,,83520258-413c-4842-93c0-58a23dc58638
2169,EARTH SCIENCE,OCEANS,BATHYMETRY/SEAFLOOR TOPOGRAPHY,SUB-BOTTOM PROFILE,,,,8b22d265-0f46-46c1-b307-1957527c13bb
