"Bucket_Level0","Bucket_Level1","Bucket_Level2","Bucket_Level3","Short_Name","Long_Name","Data_Center_URL","UUID"
"ACADEMIC","","","","UC-SD/CHEM","Department of Chemistry and Biochemistry, University of California, San Diego","http://www-chem.ucsd.edu/","628a20fb-dc82-4fe5-b6e5-6591e6b1a9f3"
"ACADEMIC","","","","UC-SD/DFPM","Department of Family and Preventive Medicine, University of California, San Diego","http://medicine.ucsd.edu/fpm/","2668d33e-437d-421a-a6e7-fa5d0ec24697"
"ACADEMIC","","","","UC-SD/IEK","ISS EarthKAM, University of California, San Diego","http://www.earthkam.ucsd.edu","c8a210cf-cfa5-4848-bc10-b6548fd28680"
"ACADEMIC","","","","UC-SD/SDSC/OPENTOPOGRAPHY","NSF OpenTopography Facility, San Diego Supercomputer Center, University of California, San Diego","http://www.opentopography.org/","de5074c5-9d00-4ecd-aca4-6143450dbedb"
"ACADEMIC","","","","UC-SD/SDSC","San Diego Supercomputer Center, University of California, San Diego","http://www.sdsc.edu/","ee6848e3-ec87-4e2d-8270-8a590beb7c68"
