,Category,Class,Type,Subtype,Short_Name,Long_Name,UUID
983,In Situ/Laboratory Instruments,Chemical Meters/Analyzers,,,2DS,2D-STEREO PARTICLE PROBE (2DS),307def51-758d-4e3e-90a6-27d1603deb5b
984,In Situ/Laboratory Instruments,Chemical Meters/Analyzers,,,4-Channel CL,"4-channel Chemiluminescence Instrument for NO, NO2, NOy, and Ozone developed by NCAR",fe4fc26d-cadb-4b24-bea6-5c6654f15986
985,In Situ/Laboratory Instruments,Chemical Meters/Analyzers,,,ACATS,Airborne Chromatograph for Atmospheric Trace Species,6656d674-a63d-4c68-9a61-59fd8cdf0c6b
986,In Situ/Laboratory Instruments,Chemical Meters/Analyzers,,,ACFA,Automatic C-Axis Fabric Analyzer,f131b3c1-72a6-4559-b586-a4a8f4a2fed9
987,In Situ/Laboratory Instruments,Chemical Meters/Analyzers,,,ADS,Automated DNA Sequencer,554a3c73-3b48-43ea-bf5b-8b98bc2b11bc
988,In Situ/Laboratory Instruments,Chemical Meters/Analyzers,,,AEROSOL MONITOR,,8c26aafd-eebc-41ad-8bed-d48a1da42c7d
989,In Situ/Laboratory Instruments,Chemical Meters/Analyzers,,,AEROSOL/CLOUD PARTICLE SIZER,,5e72c9a6-342e-4632-bb60-87a898f359b1
990,In Situ/Laboratory Instruments,Chemical Meters/Analyzers,,,AETHALOMETER,,181b36db-751a-441e-b87e-6719bbef7f44
991,In Situ/Laboratory Instruments,Chemical Meters/Analyzers,,,AIR PERMEAMETERS,,ee6320cf-7ee8-4282-99f1-c5dc4dd42ca6
992,In Situ/Laboratory Instruments,Chemical Meters/Analyzers,,,APMS,Ames Particle Measurement System,f6a4576d-be7e-4f4c-b95a-a6a66245f1ec
993,In Situ/Laboratory Instruments,Chemical Meters/Analyzers,,,ARGUS,Two-Channel Atmospheric Tracer Instrument,a3df384f-6eea-47a5-9846-ff9e4dfd5ec5
994,In Situ/Laboratory Instruments,Chemical Meters/Analyzers,,,"ARI MINI CO, N2O, H2O","CO, N2O, H2O DIRECT ABSORBANCE SPECTROMETER",f8e7d425-cfe3-4b7e-b09d-7ae9770ffdd9
995,In Situ/Laboratory Instruments,Chemical Meters/Analyzers,,,ATHOS,Airborne Tropospheric Hydroxides Sensor,fb4c76e9-8aa8-4c4a-8346-44c8bf735633
996,In Situ/Laboratory Instruments,Chemical Meters/Analyzers,,,AUTOANALYZER,,79f76e22-ae42-450d-8bed-d05a800f6ea0
997,In Situ/Laboratory Instruments,Chemical Meters/Analyzers,,,AVOCET,LI-6252 Differential Mid-Infrared Absorption of CO2 Sensor Manufactured by LI-COR Biosciences,b9caa53c-dc7d-4422-bacf-6fe5c092a7c9
998,In Situ/Laboratory Instruments,Chemical Meters/Analyzers,,,AWQT,Apparatus for Water Quality Test,96caaaf9-c813-4973-9491-772a7963b792
999,In Situ/Laboratory Instruments,Chemical Meters/Analyzers,,,C-TAG,Comprehensive Thermal Desorption Aerosol Gas Chromatograph,d0a5f758-5fd9-4f04-8f2b-4dce83e7dae6
1000,In Situ/Laboratory Instruments,Chemical Meters/Analyzers,,,CARBON ANALYZERS,,b46bf990-c49d-4302-96ee-dce3c4f96d08
1001,In Situ/Laboratory Instruments,Chemical Meters/Analyzers,,,CCN,CCN Counter,7f60d215-8aea-467c-9c48-8a88d35da522
1002,In Situ/Laboratory Instruments,Chemical Meters/Analyzers,,,CHN ANALYZERS,"Carbon, Hydrogen, Nitrogen Analyzers",276af45e-11f4-4545-a05a-f74a8ce2612e
1003,In Situ/Laboratory Instruments,Chemical Meters/Analyzers,,,CHNS/O ELEMENTAL ANALYZERS,"Carbon, Hydrogen, Nitrogen Elemental Analyzers",b9e15e2b-d3a4-42a5-9ddb-dff368d2a12f
1004,In Situ/Laboratory Instruments,Chemical Meters/Analyzers,,,CIP,Cloud Imaging Probe,92f99316-b581-4adb-9980-aeb6bed64eee
1005,In Situ/Laboratory Instruments,Chemical Meters/Analyzers,,,CNC,Condensation Nuclei Counter,6c810285-f58a-4790-800e-1fb55919b30e
1006,In Situ/Laboratory Instruments,Chemical Meters/Analyzers,,,CO2 ANALYZERS,,7aecabfb-0047-484f-8396-efc0da16bc20
1007,In Situ/Laboratory Instruments,Chemical Meters/Analyzers,,,CO2NDIR,Carbon Dioxide Nondispersive Infrared Analyzer,eeed0f6b-5821-420f-b928-b0db22cabf74
1008,In Situ/Laboratory Instruments,Chemical Meters/Analyzers,,,CPA,Charged Particle Analyzer,4b8e3b9a-ee98-41e1-94aa-263ebbd4de58
1009,In Situ/Laboratory Instruments,Chemical Meters/Analyzers,,,CPC,Cloud Particle Counter,7b08ac7a-6242-4fc5-bff9-e7d0c6341555
1010,In Situ/Laboratory Instruments,Chemical Meters/Analyzers,,,CRDS,Cavity Ring-Down Spectroscopy,9a61fcbd-c75f-4940-939f-6e4c7d84d643
1011,In Situ/Laboratory Instruments,Chemical Meters/Analyzers,,,DIFFERENTIAL MOBILITY ANALYZERS,,d1a3d7a9-cc76-4e8a-a587-b603ef30b5c2
1012,In Situ/Laboratory Instruments,Chemical Meters/Analyzers,,,EGC,Electron Gas Chromatograph,0ecdd685-9996-45af-b4e7-2df074c68368
1013,In Situ/Laboratory Instruments,Chemical Meters/Analyzers,,,EQUILIBRATORS,,d8efbcb9-9ab3-4016-b7ff-6426cd0bf545
1014,In Situ/Laboratory Instruments,Chemical Meters/Analyzers,,,FIA,FLOW INJECTION ANALYSIS,424121d2-5124-4883-bdc5-b827e3408050
1015,In Situ/Laboratory Instruments,Chemical Meters/Analyzers,,,FLAME-IONIZATION DETECTOR,,8421ed50-4ae2-4df7-bd76-9fd7b8aea9a6
1016,In Situ/Laboratory Instruments,Chemical Meters/Analyzers,,,FLOW CYTOMETRY,,78090906-ba69-42f4-97a0-c770556e236e
1017,In Situ/Laboratory Instruments,Chemical Meters/Analyzers,,,FLUORESCENCE MICROSCOPY,,35dc5fc4-4c96-44d9-8710-0e99e00201c8
1018,In Situ/Laboratory Instruments,Chemical Meters/Analyzers,,,FLUORESCENCE SPECTROSCOPY,,a2983835-be12-4a07-b2b5-349718045ab4
1019,In Situ/Laboratory Instruments,Chemical Meters/Analyzers,,,FLUOROMETERS,,e904c3c7-0111-4d09-bb01-2b7bea9b4d3f
1020,In Situ/Laboratory Instruments,Chemical Meters/Analyzers,,,FRRF,Fast Repetition Rate Fluorometer,d9e2e316-5a3e-42f4-b10a-b51bd53d0f9a
1021,In Situ/Laboratory Instruments,Chemical Meters/Analyzers,,,GAS CHROMATOGRAPHS,,32402358-e5dc-4c01-bede-5304ebea0584
1022,In Situ/Laboratory Instruments,Chemical Meters/Analyzers,,,GAS CORRELATION FILTERS,,7bd773dd-d715-473b-8e24-64b32138515f
1023,In Situ/Laboratory Instruments,Chemical Meters/Analyzers,,,GAS SENSORS,,7f7bb2bd-89a6-418e-b291-8fb5af7dcf4f
1024,In Situ/Laboratory Instruments,Chemical Meters/Analyzers,,,GC-ECD,,b18726c7-97b1-48a4-9ee0-9ed77415634f
1025,In Situ/Laboratory Instruments,Chemical Meters/Analyzers,,,GC-FID,Gas Chromatography - Flame Ionization Detector,bb7586fa-5af4-495d-ab07-4f9c4a79b1a6
1026,In Situ/Laboratory Instruments,Chemical Meters/Analyzers,,,GC-MS,Gas Chromatograph/Mass Spectrometry,3ce7f4f0-d2db-4352-8762-d88296f7aa15
1027,In Situ/Laboratory Instruments,Chemical Meters/Analyzers,,,GC-TCD,Gas Chromatography - Thermal Conductivity Detector,f54fd6d0-9705-4f45-8c78-7eaba058b1b6
1028,In Situ/Laboratory Instruments,Chemical Meters/Analyzers,,,HAMI,Hydrocarbon Automatic Measuring Instrument,6a7f7d2d-6d6d-4bd2-b814-0f8e4df3896a
