,Category,Class,Type,Subtype,Short_Name,Long_Name,UUID
1095,In Situ/Laboratory Instruments,Conductivity Sensors,,,CONDUCTIVITY METERS,,039c065c-6119-45c3-bc85-8b77b1500bfc
1096,In Situ/Laboratory Instruments,Conductivity Sensors,,,ELECTRONATORS,,9feb42c9-5a21-4d68-afd9-4e7671d4b89d
1097,In Situ/Laboratory Instruments,Conductivity Sensors,,,GERDIEN CONDUCTIVITY PROBE,,f73d0762-863e-44c0-9258-2a07cc2f3c9d
1098,In Situ/Laboratory Instruments,Conductivity Sensors,,,MWA,Multiple Water Analyzer,df019c4a-6031-498c-ab35-4cac0575accc
1099,In Situ/Laboratory Instruments,Conductivity Sensors,,,,,b5d7c2cb-60c4-4dfe-bdc9-31e9fcc97dd0
