"Bucket_Level0","Bucket_Level1","Bucket_Level2","Bucket_Level3","Short_Name","Long_Name","Data_Center_URL","UUID"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/LARC/SD/ASC/SABER","SABER Science Team, Atmospheric Sciences Competency, Science Directorate, Langley Research Center, NASA","https://science.larc.nasa.gov/research-UpperAtmosphere.html","989dbcda-d859-475b-b874-85149572bbf6"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/LARC/SD/ASC/TCIDC","Tropospheric Chemistry Integrated Data Center, Atmospheric Sciences Competency, Science Directorate, Langley Research Center, NASA","https://www-air.larc.nasa.gov/","72d344fd-76a1-4614-8165-f791875fcb87"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/LARC/SD/ASC/TCIDS","Tropospheric Chemistry Integrated Data Center, Atmospheric Sciences Competency, Science Directorate, Langley Research Center, NASA","https://www-air.larc.nasa.gov/","362d6a4c-35d0-44bc-acfd-f2c96cb85a24"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/LARC/SD/ASC","Atmospheric Sciences Competency, Science Directorate, Langley Research Center, NASA","https://science.larc.nasa.gov/","5003d7e6-19d1-4e72-801b-b08d6e859239"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/LARC/SD/ASDC/MND","MY NASA DATA, Atmospheric Sciences Data Center, Science Directorate, Langley Research Center, NASA","https://mynasadata.larc.nasa.gov/","a442361c-d78e-41be-ae00-9bcbcdf9df3f"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/LARC/SD/ASDC","Atmospheric Science Data Center, Science Directorate, Langley Research Center, NASA","https://eosweb.larc.nasa.gov/","3c8bb104-a04e-4be2-bc88-82b7ef1adc6d"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/LARC/SD/CDB","Chemistry and Dynamics Branch, Science Directorate, Langley Research Center, NASA","https://science.larc.nasa.gov/","73a7b956-2244-48f4-bc07-ac923773d00f"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/LARC/SD/CERES","Clouds and the Earth's Radiant Energy System Science Team, Science Directorate, Langley Research Center, NASA","https://ceres.larc.nasa.gov/","1d40000e-ee6a-4daa-9d46-a6b011033d91"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/LARC/SD/LARC_DAAC","Langley Research Center Distributed Active Archive Center, Science Directorate, Langley Research Center, NASA","https://eosweb.larc.nasa.gov/","ea3b5e5e-2d84-45e4-8906-bf8f4c577500"
