,Category,Class,Type,Subtype,Short_Name,Long_Name,UUID
1143,In Situ/Laboratory Instruments,Gauges,,,ADG,Acoustic Depth Gauge,69bcf472-1c03-40fd-b304-1abb09fc5398
1144,In Situ/Laboratory Instruments,Gauges,,,BALANCE,,7ce49fe7-db96-44cf-a242-fdfca6337087
1145,In Situ/Laboratory Instruments,Gauges,,,BOTTOM PRESSURE GAUGES,,ed5e049a-e17a-469f-8de4-20d9faa94b26
1146,In Situ/Laboratory Instruments,Gauges,,,E-BAM,Environmental Beta-Attenuation Mass Monitor,cb8f849f-bbe5-4c62-9a50-d729718ad980
1147,In Situ/Laboratory Instruments,Gauges,,,GROUND WATER LEVEL GAUGES,,3bc9781d-87b7-49c6-9647-876c7144eade
1148,In Situ/Laboratory Instruments,Gauges,,,GWLG,GROUND WATER LEVEL GAUGES,fa4fb154-aafb-4cdb-9c10-9c07cbae9432
1149,In Situ/Laboratory Instruments,Gauges,,,IONIZATION PRESSURE GAUGES,,ce453fe8-6e46-43dc-870b-2728d3fc12f6
1150,In Situ/Laboratory Instruments,Gauges,,,LAND SUBSIDENCE GAUGES,,afaef469-286c-4bc9-a31a-6a130327caed
1151,In Situ/Laboratory Instruments,Gauges,,,LYSIMETERS,,66b99c8a-5962-4049-af83-b2eafd59d1df
1152,In Situ/Laboratory Instruments,Gauges,,,ORG,Optical Rain Gauge,ac4ef2f4-6dbb-4ae2-b78e-4f016f7cb6d3
1153,In Situ/Laboratory Instruments,Gauges,,,RAD GAUGE,Ram Atmosphere Density Gauge,c860abca-20ba-43e6-add6-994bbdd61c94
1154,In Situ/Laboratory Instruments,Gauges,,,RAIN GAUGES,,6a0afbcb-36d7-4b10-a2c1-35d4d14d6c75
1155,In Situ/Laboratory Instruments,Gauges,,,RING SHEAR TESTERS,,020d9550-c314-45b6-8a43-23304626d9c0
1156,In Situ/Laboratory Instruments,Gauges,,,SPRING BALANCE,SPRING BALANCE,2e22804e-4100-4129-b239-b91be5b21fc3
1157,In Situ/Laboratory Instruments,Gauges,,,STRAIN GAUGE WHEATSTONE BRIDGE,,59819689-d637-4468-a9e6-a6123190c61a
1158,In Situ/Laboratory Instruments,Gauges,,,STREAM GAUGES,,9bd0a7b8-bb67-4b44-b2bc-cf975f93ea10
1159,In Situ/Laboratory Instruments,Gauges,,,TEOM,Tapered Element Oscillating Microbalance,5443ac3e-5066-4a89-a973-93b345c91947
1160,In Situ/Laboratory Instruments,Gauges,,,TIDE GAUGES,,0595fdeb-9d82-49c0-a987-ff3892117cbd
1161,In Situ/Laboratory Instruments,Gauges,,,TRETYAKOV GAUGE,Tretyakov precipitation gauge,d67b2277-d13a-4241-b0ec-a7e882628c2c
1162,In Situ/Laboratory Instruments,Gauges,,,ULTRASONIC DEPTH GAUGE,,dfc90592-5ad2-48a6-9639-52d8021ff6c2
1163,In Situ/Laboratory Instruments,Gauges,,,WATER LEVEL GAUGES,,46d11d98-dbd4-4543-9e0e-3b4f3e763d36
1164,In Situ/Laboratory Instruments,Gauges,,,WAVE HEIGHT GAUGES,,6eebaf59-4863-492b-97fd-f96af8c1fbdf
1165,In Situ/Laboratory Instruments,Gauges,,,,,271601ce-3e85-4090-b70d-d28a70095c2d
