,Category,Class,Type,Subtype,Short_Name,Long_Name,UUID
1126,In Situ/Laboratory Instruments,Data Analysis,Environmental Modeling,Soil Characteristics,CONUS-Soil,Conterminous United States Soil Characteristics Data,b46f44ae-d2b5-4653-abdc-09a28eb4276b
1127,In Situ/Laboratory Instruments,Data Analysis,Environmental Modeling,Soil Characteristics,,,143488b4-9a25-47d9-8e47-317b7cb1e49d
1128,In Situ/Laboratory Instruments,Data Analysis,Environmental Modeling,,Computer,Computer,91294ff2-2621-4976-98c7-b159a056d6f9
1129,In Situ/Laboratory Instruments,Data Analysis,Environmental Modeling,,Line intercept sampling,Line intercept sampling,814d6fe0-07c4-4af1-b8ce-85348cb119a6
1130,In Situ/Laboratory Instruments,Data Analysis,Environmental Modeling,,,,ded4f1ec-01bc-4e96-99bb-1a7464af9e46
1131,In Situ/Laboratory Instruments,Data Analysis,,,,,451995e8-a883-4468-abfd-a0e211ca9b72
