,Category,Class,Type,Subtype,Short_Name,Long_Name,UUID
1166,In Situ/Laboratory Instruments,Magnetic/Motion Sensors,Accelerometers,,ACCELEROGRAPHS,,2bd1f0f5-2583-4757-b634-314fba02ae92
1167,In Situ/Laboratory Instruments,Magnetic/Motion Sensors,Accelerometers,,ACCELEROMETERS,,0fdcd01a-d31f-4f34-aecc-55f541147b52
1168,In Situ/Laboratory Instruments,Magnetic/Motion Sensors,Accelerometers,,ADA,Atmospheric Density Accelerometer,e4dc8264-c6b4-4ff9-923d-1babc2f41dd6
1169,In Situ/Laboratory Instruments,Magnetic/Motion Sensors,Accelerometers,,GHIS,Global Hawk In-Flight Turbulence Sensor,f69c1ec7-6e16-49a8-b31d-6ed0f76ee9eb
1170,In Situ/Laboratory Instruments,Magnetic/Motion Sensors,Accelerometers,,,,b9ab54ce-e045-482c-8b8f-fde98bdab60d
1171,In Situ/Laboratory Instruments,Magnetic/Motion Sensors,Gravimeters,,AIRGrav,Sander/LDEO Airborne Inertially Referenced Gravimeter,5f8418fd-1a24-4b72-a3c9-8fc907366abf
1172,In Situ/Laboratory Instruments,Magnetic/Motion Sensors,Gravimeters,,BGM-3,Bell BGM-3 Gravimeter,fe6df97e-c1cd-466a-8c57-09b4a48e5cb5
1173,In Situ/Laboratory Instruments,Magnetic/Motion Sensors,Gravimeters,,DTG,Differential Thermogravimeter,acf32e4e-5919-428d-b861-814bf776fc4f
1174,In Situ/Laboratory Instruments,Magnetic/Motion Sensors,Gravimeters,,FG5,Micro-g LaCoste FG5 and FG5X,f5cbbf7c-a3b6-4969-9ae9-0fdb3e86e23b
1175,In Situ/Laboratory Instruments,Magnetic/Motion Sensors,Gravimeters,,GRAVIMETERS,,0f63a24a-379d-40bc-975c-4f71479f3a06
1176,In Situ/Laboratory Instruments,Magnetic/Motion Sensors,Gravimeters,,INCLINOMETERS,,66db13de-e7f5-4740-992b-e8874b1a579d
1177,In Situ/Laboratory Instruments,Magnetic/Motion Sensors,Gravimeters,,LGS,LDEO-Gravimeter-Suite,e7c8ddfc-c3c5-4fdd-a44c-80df5b95200a
1178,In Situ/Laboratory Instruments,Magnetic/Motion Sensors,Gravimeters,,LRGM,Lacoste-Romberg Gravity Meter,2725b06e-67c5-44ed-bfad-95c4b772cf1d
1179,In Situ/Laboratory Instruments,Magnetic/Motion Sensors,Gravimeters,,OWEN TUBE,,dbc2aa6d-24d0-4449-a472-9b6379979446
1180,In Situ/Laboratory Instruments,Magnetic/Motion Sensors,Gravimeters,,SUPERCONDUCTING GRAVIMETER,,11a96ea3-6231-48d7-8ebd-9212e1e0fa2f
1181,In Situ/Laboratory Instruments,Magnetic/Motion Sensors,Gravimeters,,ZLS,ZLS Dynamic Gravity Meter,421591cb-6858-4419-877d-43fb1c44029f
1182,In Situ/Laboratory Instruments,Magnetic/Motion Sensors,Gravimeters,,,,1707b0ef-5e6f-4abc-bd7b-905c4ea18ba7
1183,In Situ/Laboratory Instruments,Magnetic/Motion Sensors,Seismometers,,SEISMOGRAPHS,,dca86e5d-e95d-4159-a552-5a83a515abd4
1184,In Situ/Laboratory Instruments,Magnetic/Motion Sensors,Seismometers,,SEISMOMETERS,,aac114f4-64ec-4117-9a4c-b7babe53f24a
1185,In Situ/Laboratory Instruments,Magnetic/Motion Sensors,Seismometers,,,,46f6b588-fe2f-4091-97dc-5f6fea3343fe
1186,In Situ/Laboratory Instruments,Magnetic/Motion Sensors,,,,,02a7fb42-6ff5-493f-a447-b687f841b2c1
